#Module	Layer	Straw	cut on	cut off	Calib status
1	1	1	0	200	2
1	1	2	0	200	2
1	1	3	69.343	200	4
1	1	4	79.7715	200	4
1	1	5	67.984	200	4
1	1	6	69.2093	200	4
1	1	7	61.2851	200	4
1	1	8	74.8711	200	4
1	1	9	0	200	1
1	1	10	0	200	1
1	1	11	0	200	1
1	1	12	0	200	1
1	1	13	69.7235	200	4
1	1	14	79	200	4
1	1	15	71.0402	200	4
1	1	16	73.2881	200	4
1	1	17	65.0793	200	4
1	1	18	66.4666	200	4
1	1	19	58.8448	200	4
1	1	20	0	200	2
1	1	21	65.4911	200	4
1	1	22	71.5299	200	4
1	1	23	65.2527	200	4
1	1	24	72.9873	200	4
1	1	25	0	200	2
1	1	26	0	200	2
1	1	27	0	200	2
1	1	28	0	200	2
1	1	29	0	200	2
1	1	30	0	200	2
1	1	31	0	200	2
1	1	32	0	200	2
1	1	33	72.2488	200	4
1	1	34	68.5875	200	4
1	1	35	68.7836	200	4
1	1	36	73.5569	200	4
1	1	37	0	200	1
1	1	38	0	200	1
1	1	39	72.5432	200	4
1	1	40	68.8982	200	4
1	1	41	69.2731	200	4
1	1	42	65.1373	200	4
1	1	43	74.724	200	4
1	1	44	78.0636	200	4
1	1	45	70.0184	200	4
1	1	46	75.0759	200	4
1	1	47	67.0632	200	4
1	1	48	76.7537	200	4
1	1	49	71.6255	200	4
1	1	50	60.4998	200	4
1	1	51	68.9148	200	4
1	1	52	71.5055	200	4
1	1	53	70.6264	200	4
1	1	54	72.8397	200	4
1	1	55	70.849	200	4
1	1	56	69.7879	200	4
1	1	57	70.6733	200	4
1	1	58	79.3368	200	4
1	1	59	71.8313	200	4
1	1	60	63.3593	200	4
1	1	61	67.7901	200	4
1	1	62	69.5418	200	4
1	1	63	70.3036	200	4
1	1	64	71.4543	200	4
1	1	65	71.7605	200	4
1	1	66	55.8784	200	4
1	1	67	67.6545	200	4
1	1	68	0	200	2
1	1	69	0	200	2
1	1	70	62.0669	200	4
1	1	71	66.7536	200	4
1	1	72	68.4912	200	4
1	1	73	72.6779	200	4
1	1	74	56.2016	200	4
1	1	75	0	200	2
1	1	76	71.6609	200	4
1	1	77	67.9126	200	4
1	1	78	62.1433	200	4
1	1	79	67.5968	200	4
1	1	80	69.8802	200	4
1	1	81	63.1115	200	4
1	1	82	61.0654	200	4
1	1	83	0	200	1
1	1	84	0	200	1
1	1	85	68.5553	200	4
