#voltage[V], counts
1700, 541
1700, 498
1700, 550
1700, 519
1750, 896
1750, 955
1750, 1011
1750, 985
1800, 1412
1800, 1437 
1800, 1478
1800, 1515
1850, 2531
1850, 2375
1850, 2362
1850, 2426
1900, 5092
1900, 5137
1900, 5066
1900, 5086
1950, 13880
1950, 14289
1950, 15100
1950, 13864
2000, 19821
2000, 20246
2000, 20155
2000, 20015
2050, 22521
2050, 22788
2050, 22833
2050, 22929
2100, 24609
2100, 24513
2100, 24613 
2100, 24371
2150, 25823
2150, 25615
2150, 25877
2150, 25320
2200, 26585
2200, 27102
2200, 27245
2200, 26446
2250, 28292
2250, 27858
2250, 27815
2250, 27451
2300, 28909
2300, 28958
2300, 28576
2300, 28846
