# broken display -> error
#voltage[V], counts
1700, 39
1700, 36
1700, 44
1700, 45
1750, 75
1750, 78
1750, 87
1750, 82
1800, 156
1800, 143
1800, 137
1800, 148
1850, 179
1850, 191
1850, 229
1850, 229
1900, 241
1900, 231
1900, 248
1900, 250
1950, 286
1950, 312
1950, 296
1950, 280
2000, 286
2000, 298
2000, 331
2000, 308
2050, 365
2050, 345
2050, 388
2050, 356
2100, 413
2100, 392
2100, 380
2100, 409
2150, 432
2150, 398
2150, 385
2150, 473
2200, 424
2200, 436
2200, 419
2200, 425
2250, 409
2250, 426
2250, 428
2250, 396
2300, 458
2300, 439
2300, 411
2300, 393
