# SCA calibration
# 10s, 1% accuracy reached, 20 windows size
# in the end, cannot turn know further
# position, L-count, R-count
0, 9784, 10591
20, 12463, 10887
40, 12590, 11139
60, 12496, 10951
80, 12836, 11130
100, 12895, 11761
120, 15163, 11728
140, 17055, 14041
160, 15535, 15560
180, 14785, 14002
200, 14053, 13083
220, 12789, 12518
240, 12169, 11950
260, 11832, 11224
280, 11624, 10539
300, 11332, 10490
320, 11014, 9968
340, 10870, 9849
360, 10781, 9619
380, 11044, 9903
400, 11167, 9684
420, 11243, 9868
440, 11344, 9584
460, 11499, 9567
480, 11780, 9797
500, 12258, 9767
520, 12457, 10003
540, 13032, 10137
560, 13562, 10469
580, 14541, 10864
600, 14899, 11122
620, 14236, 11650
640, 12406, 12126
660, 10574, 12463
680, 9447, 12365
700, 9127, 10569
720, 8391, 8921
740, 7481, 8043
760, 12493, 7654
780, 28157, 7338
800, 33142, 6567
820, 14484, 7212
840, 3743, 15035
860, 5074, 27375
880, 17425, 24873
900, 28588, 10339
920, 18827, 3033
940, 5740, 5092
960, 1329, 14589
980, 770, 22610
990, 674, 22907
