# first consistency check: for 200s, N(pi) = 10533, N(pi/2) = 9549. Ok, if consider correction factors
# time: 400s or 600s
# angle/degrees(+-2), time duration, Lcounter(fixed), coinc. counter, Rcounter(mobile)
180, 400, 3145700, 20986, 3330100
225, 400, 3146500, 20177, 3334400
270, 400, 3145300, 18745, 3327400
135, 400, 3153200, 20014, 3361600
90, 400, 3156600, 19451, 3379000
180, 200, 1577700, 10689, 1661500
195, 200, 1578100, 10556, 1670300 
210, 200, 1580100, 10250, 1672900
240, 200, 1581900, 9670, 1666400
255, 200, 1579800, 9441, 1654400
105, 200, 1580300, 9610, 1679700
120, 200, 1581600, 9849, 1672000
150, 200, 1580900, 10451, 1680700
175, 200, 1582200, 10758, 1660300
75, 200, 1582500, 9668, 1683700
60, 200, 1584600, 9856, 1687100
285, 200, 1578600, 9418, 1652200
300, 200, 1561800, 9586, 1653900
165, 200, 1567100, 10493, 1660400
140, 200, 1566600, 10208, 1675400
230, 200, 1566400, 9804, 1652600
180, 200,
