# imstats: THELI Pipeline Version: 1.9.5
# imstats: called at 2020-09-18T11:26:28
# imstats: estimating statistics in
# the whole frames within -60000.000000 < pixvalue < 60000.000000
#
# imstats: filename	mode	lquartile	median	uquartile	mean	sigma	min	max	goodpix	goodpix/percent
DARK_0deg_120s.fits	1942.72	1937.00	1943.00	1950.00	1946.37	 10.06	1893.00	59666.00	6291430	100.00
DARK_0deg_30s.fits	1939.03	1933.00	1939.00	1946.00	1940.51	  9.02	1885.00	56324.00	6291452	100.00
DARK_0deg_60s.fits	1940.42	1934.00	1941.00	1947.00	1942.67	  9.60	1885.00	59683.00	6291445	100.00
DARK_-10deg_120s.fits	1942.64	1937.00	1943.00	1949.00	1944.45	  9.93	1890.00	58211.00	6291447	100.00
DARK_10deg_120s.fits	1967.24	1960.00	1968.00	1976.00	1974.78	 10.82	1906.00	59622.00	6291382	100.00
DARK_-10deg_30s.fits	1941.64	1936.00	1942.00	1948.00	1943.00	  8.43	1892.00	59320.00	6291454	100.00
DARK_10deg_30s.fits	1951.96	1945.00	1952.00	1960.00	1954.55	 10.41	1895.00	59762.00	6291444	100.00
DARK_-10deg_60s.fits	1942.11	1936.00	1942.00	1949.00	1943.47	  9.14	1885.00	54845.00	6291451	100.00
DARK_10deg_60s.fits	1954.60	1948.00	1955.00	1963.00	1958.91	  9.87	1892.00	59230.00	6291423	100.00
DARK_-2deg_120s.fits	1942.03	1936.00	1943.00	1949.00	1945.13	  9.02	1890.00	57571.00	6291437	100.00
DARK_2deg_120s.fits	1944.65	1939.00	1945.00	1952.00	1948.99	  9.95	1888.00	57980.00	6291428	100.00
DARK_-2deg_30s.fits	1939.43	1934.00	1940.00	1946.00	1940.76	  8.11	1888.00	49595.00	6291452	100.00
DARK_2deg_30s.fits	1939.34	1933.00	1940.00	1946.00	1941.01	  9.48	1884.00	54777.00	6291451	100.00
DARK_-2deg_60s.fits	1940.03	1934.00	1940.00	1947.00	1942.02	  9.02	1883.00	58989.00	6291449	100.00
DARK_2deg_60s.fits	1941.49	1936.00	1942.00	1949.00	1944.04	  9.71	1890.00	56134.00	6291441	100.00
DARK_-4deg_120s.fits	1941.28	1936.00	1942.00	1948.00	1944.09	  9.39	1890.00	59757.00	6291439	100.00
DARK_4deg_120s.fits	1947.50	1941.00	1948.00	1955.00	1952.31	  9.71	1889.00	58280.00	6291419	100.00
DARK_-4deg_30s.fits	1939.64	1934.00	1940.00	1946.00	1940.91	  8.43	1888.00	43018.00	6291451	100.00
DARK_4deg_30s.fits	1940.11	1934.00	1940.00	1947.00	1941.84	  9.14	1887.00	59795.00	6291451	100.00
DARK_-4deg_60s.fits	1939.96	1934.00	1940.00	1947.00	1941.75	  8.90	1887.00	53181.00	6291449	100.00
DARK_4deg_60s.fits	1943.03	1937.00	1943.00	1950.00	1945.61	  9.02	1890.00	56255.00	6291439	100.00
DARK_-6deg_120s.fits	1941.27	1935.00	1942.00	1948.00	1943.79	  9.37	1879.00	56102.00	6291439	100.00
DARK_6deg_120s.fits	1952.08	1946.00	1953.00	1960.00	1957.61	  9.09	1899.00	58750.00	6291409	100.00
DARK_-6deg_30s.fits	1940.03	1934.00	1940.00	1947.00	1941.11	  9.02	1887.00	59323.00	6291452	100.00
DARK_6deg_30s.fits	1941.96	1936.00	1942.00	1949.00	1943.92	 10.41	1886.00	57624.00	6291450	100.00
DARK_-6deg_60s.fits	1940.72	1935.00	1941.00	1948.00	1942.32	  8.56	1885.00	57749.00	6291450	100.00
DARK_6deg_60s.fits	1945.33	1939.00	1946.00	1953.00	1948.48	  9.46	1889.00	59214.00	6291437	100.00
DARK_-8deg_120s.fits	1941.88	1936.00	1942.00	1949.00	1943.97	  8.79	1884.00	57269.00	6291444	100.00
DARK_8deg_120s.fits	1958.96	1952.00	1960.00	1967.00	1965.42	 10.41	1900.00	57944.00	6291393	100.00
DARK_-8deg_30s.fits	1940.36	1935.00	1941.00	1947.00	1941.55	  9.50	1889.00	55206.00	6291452	100.00
DARK_8deg_30s.fits	1944.25	1938.00	1945.00	1952.00	1946.61	  9.34	1891.00	51809.00	6291445	100.00
DARK_-8deg_60s.fits	1941.34	1935.00	1942.00	1948.00	1942.65	  9.48	1892.00	51833.00	6291450	100.00
DARK_8deg_60s.fits	1949.00	1943.00	1950.00	1957.00	1952.75	 10.46	1894.00	59350.00	6291434	100.00
