# imstats: THELI Pipeline Version: 1.9.5
# imstats: called at 2020-09-18T12:26:00
# imstats: estimating statistics in
# 1200 < x < 1600, 400 < y < 600 within -80000.000000 < pixvalue < 80000.000000
#
# imstats: filename	mode	lquartile	median	uquartile	mean	sigma	min	max	goodpix	goodpix/percent
FLATLIN_0.15s-1.fits	11220.28	11161.00	11220.00	11281.00	11220.25	 88.60	10831.00	11621.00	80000	100.00
FLATLIN_0.15s_diff.fits	-60.50	-139.00	-59.00	 18.00	-59.52	117.31	-540.00	500.00	80000	100.00
FLATLIN_0.15s.fits	11160.00	11100.00	11160.00	11220.00	11160.73	 90.73	10798.00	11516.00	80000	100.00
FLATLIN_0.3s-1.fits	20504.09	20412.00	20503.00	20594.00	20498.22	135.99	19972.00	21032.00	80000	100.00
FLATLIN_0.3s_diff.fits	 13.82	-98.00	 12.00	123.00	 18.59	163.17	-643.00	683.00	80000	100.00
FLATLIN_0.3s.fits	20516.00	20427.00	20515.00	20605.00	20516.81	133.01	19960.00	21204.00	80000	100.00
FLATLIN_0.4s-1.fits	26594.71	26488.00	26593.00	26704.00	26596.40	155.64	25959.00	27267.00	80000	100.00
FLATLIN_0.4s_diff.fits	 27.47	-100.00	 27.00	149.00	 23.15	188.27	-847.00	764.00	80000	100.00
FLATLIN_0.4s.fits	26618.50	26511.00	26620.00	26726.00	26619.55	160.65	25979.00	27267.00	80000	100.00
FLATLIN_0.5s-1.fits	32740.00	32614.00	32740.00	32866.00	32741.97	188.30	32020.00	33542.00	80000	100.00
FLATLIN_0.5s_diff.fits	-72.00	-215.00	-71.00	 71.00	-73.75	213.71	-1099.00	846.00	80000	100.00
FLATLIN_0.5s.fits	32667.48	32542.00	32669.00	32796.00	32668.22	187.54	31918.00	33424.00	80000	100.00
FLATLIN_0.7s-1.fits	44996.90	44836.00	45000.00	45154.00	44998.17	243.28	44032.00	45920.00	80000	100.00
FLATLIN_0.7s_diff.fits	 -1.46	-164.00	 -2.00	165.00	 -3.70	239.98	-1037.00	1074.00	80000	100.00
FLATLIN_0.7s.fits	44997.00	44840.00	44995.00	45154.00	44994.46	231.83	43924.00	45938.00	80000	100.00
FLATLIN_0.85s-1.fits	54054.30	53872.00	54057.00	54241.00	54057.69	275.73	53004.00	55190.00	80000	100.00
FLATLIN_0.85s_diff.fits	 14.17	-170.00	 14.00	194.00	 12.14	275.23	-1082.00	1161.00	80000	100.00
FLATLIN_0.85s.fits	54065.79	53883.00	54065.00	54253.00	54069.83	273.18	52909.00	55181.00	80000	100.00
FLATLIN_0.8s-1.fits	50988.00	50816.00	50989.00	51160.00	50990.73	257.05	49997.00	52060.00	80000	100.00
FLATLIN_0.8s_diff.fits	 82.40	-91.00	 85.00	260.00	 83.81	259.15	-995.00	1124.00	80000	100.00
FLATLIN_0.8s.fits	51075.00	50901.00	51074.00	51249.00	51074.54	260.03	49884.00	52079.00	80000	100.00
FLATLIN_0.95s-1.fits	60175.00	59976.00	60175.00	60374.00	60173.40	297.39	58900.00	61336.00	80000	100.00
FLATLIN_0.95s_diff.fits	-247.73	-440.00	-246.00	-60.00	-244.09	287.33	-1545.00	1001.00	80000	100.00
